Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2024,Preseason Week 2,FINAL,SAT,08/17,Cardinals,0-2,13,0.0,Colts,1-1,21,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Commanders,0-2,6,0.0,Dolphins,2-0,13,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Bills,1-1,9,1.0,Steelers,0-2,3,0.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Seahawks,1-1,15,0.0,Titans,2-0,16,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Rams,2-0,13,1.0,Chargers,0-2,9,0.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Buccaneers,1-1,7,0.0,Jaguars,2-0,20,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Cowboys,1-1,27,1.0,Raiders,0-2,12,0.0,,,0
2024,Preseason Week 2,FINAL,SUN,08/18,Packers,1-1,2,0.0,Broncos,2-0,27,1.0,,,0
2024,Preseason Week 2,FINAL,SUN,08/18,Saints,1-1,10,0.0,49ers,1-1,16,1.0,,,0
2024,Preseason Week 3,FINAL,THU,08/22,Colts,2-1,27,1.0,Bengals,0-3,14,0.0,,,0
2024,Preseason Week 3,FINAL,THU,08/22,Bears,4-0,34,1.0,Chiefs,0-3,21,0.0,,,0
2024,Preseason Week 3,FINAL,FRI,08/23,Jaguars,3-0,31,1.0,Falcons,0-3,0,0.0,,,0
2024,Preseason Week 3,FINAL,FRI,08/23,Dolphins,2-1,14,0.0,Buccaneers,2-1,24,1.0,,,0
2024,Preseason Week 3,FINAL,FRI,08/23,49ers,1-1-1,24,0.0,Raiders,0-2-1,24,0.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Panthers,1-2,31,1.0,Bills,1-2,26,0.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Steelers,0-3,17,0.0,Lions,2-1,24,1.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Ravens,1-2,7,0.0,Packers,2-1,30,1.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Rams,2-1,15,0.0,Texans,3-1,17,1.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Vikings,3-0,26,1.0,Eagles,2-1,3,0.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Chargers,1-2,26,1.0,Cowboys,1-2,19,0.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Giants,1-2,6,0.0,Jets,3-0,10,1.0,,,0
2024,Preseason Week 3,FINAL,SAT,08/24,Browns,0-3,33,0.0,Seahawks,2-1,37,1.0,,,0
2024,Preseason Week 3,FINAL,SUN,08/25,Titans,3-0,30,1.0,Saints,1-2,27,0.0,,,0
2024,Preseason Week 3,FINAL,SUN,08/25,Cardinals,0-3,12,0.0,Broncos,3-0,38,1.0,,,0
2024,Preseason Week 3,FINAL,SUN,08/25,Patriots,1-2,10,0.0,Commanders,1-2,20,1.0,,,0
2024,Week 1,FINAL,THU,09/05,Ravens,0-1,20,0.0,Chiefs,1-0,27,1.0,,,0
2024,Week 1,FINAL,FRI,09/06,Packers,0-1,29,0.0,Eagles,1-0,34,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Steelers,1-0,18,1.0,Falcons,0-1,10,0.0,,,0
2024,Week 1,FINAL,SUN,09/08,Cardinals,0-1,28,0.0,Bills,1-0,34,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Titans,0-1,17,0.0,Bears,1-0,24,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Patriots,1-0,16,1.0,Bengals,0-1,10,0.0,,,0
2024,Week 1,FINAL,SUN,09/08,Texans,1-0,29,1.0,Colts,0-1,27,0.0,,,0
2024,Week 1,FINAL,SUN,09/08,Jaguars,0-1,17,0.0,Dolphins,1-0,20,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Panthers,0-1,10,0.0,Saints,1-0,47,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Vikings,1-0,28,1.0,Giants,0-1,6,0.0,,,0
2024,Week 1,FINAL,SUN,09/08,Raiders,0-1,10,0.0,Chargers,1-0,22,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Broncos,0-1,20,0.0,Seahawks,1-0,26,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Cowboys,1-0,33,1.0,Browns,0-1,17,0.0,,,0
2024,Week 1,FINAL,SUN,09/08,Commanders,0-1,20,0.0,Buccaneers,1-0,37,1.0,,,0
2024,Week 1,FINAL,SUN,09/08,Rams,0-1,20,0.0,Lions,1-0,26,1.0,,,0
2024,Week 1,FINAL,MON,09/09,Jets,0-1,19,0.0,49ers,1-0,32,1.0,,,0
2024,Week 2,FINAL,THU,09/12,Bills,1-0,31,1.0,Dolphins,1-0,10,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Raiders,0-1,26,1.0,Ravens,0-1,23,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Chargers,1-0,26,1.0,Panthers,0-1,3,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Saints,1-0,44,1.0,Cowboys,1-0,19,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Buccaneers,1-0,20,1.0,Lions,1-0,16,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Colts,0-1,10,0.0,Packers,0-1,16,1.0,,,0
2024,Week 2,FINAL,SUN,09/15,Browns,0-1,18,1.0,Jaguars,0-1,13,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,49ers,1-0,17,0.0,Vikings,1-0,23,1.0,,,0
2024,Week 2,FINAL,SUN,09/15,Seahawks,1-0,23,1.0,Patriots,1-0,20,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Jets,0-1,24,1.0,Titans,0-1,17,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Giants,0-1,18,0.0,Commanders,0-1,21,1.0,,,0
2024,Week 2,FINAL,SUN,09/15,Rams,0-1,10,0.0,Cardinals,0-1,41,1.0,,,0
2024,Week 2,FINAL,SUN,09/15,Steelers,1-0,13,1.0,Broncos,0-1,6,0.0,,,0
2024,Week 2,FINAL,SUN,09/15,Bengals,0-1,25,0.0,Chiefs,1-0,26,1.0,,,0
2024,Week 2,FINAL,SUN,09/15,Bears,1-0,13,0.0,Texans,1-0,19,1.0,,,0
2024,Week 2,FINAL,MON,09/16,Falcons,0-1,22,1.0,Eagles,1-0,21,0.0,,,0
2024,Week 3,FINAL,THU,09/19,Patriots,1-0,3,0.0,Jets,0-1,24,1.0,,,0
2024,Week 3,FINAL,SUN,09/22,Giants,0-1,21,1.0,Browns,0-1,15,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,Bears,1-0,16,0.0,Colts,0-1,21,1.0,,,0
2024,Week 3,FINAL,SUN,09/22,Texans,1-0,7,0.0,Vikings,1-0,34,1.0,,,0
2024,Week 3,FINAL,SUN,09/22,Eagles,1-0,15,1.0,Saints,1-0,12,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,Chargers,1-0,10,0.0,Steelers,1-0,20,1.0,,,0
2024,Week 3,FINAL,SUN,09/22,Broncos,0-1,26,1.0,Buccaneers,1-0,7,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,Packers,0-1,30,1.0,Titans,0-1,14,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,Panthers,0-1,36,1.0,Raiders,0-1,22,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,Dolphins,1-0,3,0.0,Seahawks,1-0,24,1.0,,,0
2024,Week 3,FINAL,SUN,09/22,Lions,1-0,20,1.0,Cardinals,0-1,13,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,Ravens,0-1,28,1.0,Cowboys,1-0,25,0.0,,,0
2024,Week 3,FINAL,SUN,09/22,49ers,1-0,24,0.0,Rams,0-1,27,1.0,,,0
2024,Week 3,FINAL,SUN,09/22,Chiefs,1-0,22,1.0,Falcons,0-1,17,0.0,,,0
2024,Week 3,FINAL,MON,09/23,Jaguars,0-1,10,0.0,Bills,1-0,47,1.0,,,0
2024,Week 3,FINAL,MON,09/23,Commanders,0-1,38,1.0,Bengals,0-1,33,0.0,,,0
2024,Week 4,FINAL,THU,09/26,Cowboys,1-0,20,1.0,Giants,0-1,15,0.0,,,0
2024,Week 4,FINAL,SUN,09/29,Saints,1-0,24,0.0,Falcons,0-1,26,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Bengals,0-1,34,1.0,Panthers,0-1,24,0.0,,,0
2024,Week 4,FINAL,SUN,09/29,Rams,0-1,18,0.0,Bears,1-0,24,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Vikings,1-0,31,1.0,Packers,0-1,29,0.0,,,0
2024,Week 4,FINAL,SUN,09/29,Jaguars,0-1,20,0.0,Texans,1-0,24,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Steelers,1-0,24,0.0,Colts,0-1,27,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Broncos,0-1,10,1.0,Jets,0-1,9,0.0,,,0
2024,Week 4,FINAL,SUN,09/29,Eagles,1-0,16,0.0,Buccaneers,1-0,33,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Commanders,0-1,42,1.0,Cardinals,0-1,14,0.0,,,0
2024,Week 4,FINAL,SUN,09/29,Patriots,1-0,13,0.0,49ers,1-0,30,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Chiefs,1-0,17,1.0,Chargers,1-0,10,0.0,,,0
2024,Week 4,FINAL,SUN,09/29,Browns,0-1,16,0.0,Raiders,0-1,20,1.0,,,0
2024,Week 4,FINAL,SUN,09/29,Bills,1-0,10,0.0,Ravens,0-1,35,1.0,,,0
2024,Week 4,FINAL,MON,09/30,Titans,0-1,31,1.0,Dolphins,1-0,12,0.0,,,0
2024,Week 4,FINAL,MON,09/30,Seahawks,1-0,29,0.0,Lions,1-0,42,1.0,,,0
2024,Week 5,FINAL,THU,10/03,Buccaneers,1-0,30,0.0,Falcons,0-1,36,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Jets,0-1,17,0.0,Vikings,1-0,23,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Panthers,0-1,10,0.0,Bears,1-0,36,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Ravens,0-1,41,1.0,Bengals,0-1,38,0.0,,,0
2024,Week 5,FINAL,SUN,10/06,Bills,1-0,20,0.0,Texans,1-0,23,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Colts,0-1,34,0.0,Jaguars,0-1,37,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Dolphins,1-0,15,1.0,Patriots,1-0,10,0.0,,,0
2024,Week 5,FINAL,SUN,10/06,Browns,0-1,13,0.0,Commanders,0-1,34,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Raiders,0-1,18,0.0,Broncos,0-1,34,1.0,,,0
2024,Week 5,FINAL,SUN,10/06,Cardinals,0-1,24,1.0,49ers,1-0,23,0.0,,,0
2024,Week 5,FINAL,SUN,10/06,Packers,0-1,24,1.0,Rams,0-1,19,0.0,,,0
2024,Week 5,FINAL,SUN,10/06,Giants,0-1,29,1.0,Seahawks,1-0,20,0.0,,,0
2024,Week 5,FINAL,SUN,10/06,Cowboys,1-0,20,1.0,Steelers,1-0,17,0.0,,,0
2024,Week 5,FINAL,MON,10/07,Saints,1-0,13,0.0,Chiefs,1-0,26,1.0,,,0
2024,Week 5,BYE,,,Eagles,14-3,,,,,,,,,0
2024,Week 5,BYE,,,Titans,3-14,,,,,,,,,0
2024,Week 5,BYE,,,Chargers,11-6,,,,,,,,,0
2024,Week 5,BYE,,,Lions,15-2,,,,,,,,,0
2024,Week 6,FINAL,THU,10/10,49ers,1-0,36,1.0,Seahawks,1-0,24,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Jaguars,0-1,16,0.0,Bears,1-0,35,1.0,,,0
2024,Week 6,FINAL,SUN,10/13,Commanders,0-1,23,0.0,Ravens,0-1,30,1.0,,,0
2024,Week 6,FINAL,SUN,10/13,Cardinals,0-1,13,0.0,Packers,0-1,34,1.0,,,0
2024,Week 6,FINAL,SUN,10/13,Texans,1-0,41,1.0,Patriots,1-0,21,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Buccaneers,1-0,51,1.0,Saints,1-0,27,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Browns,0-1,16,0.0,Eagles,1-0,20,1.0,,,0
2024,Week 6,FINAL,SUN,10/13,Colts,0-1,20,1.0,Titans,0-1,17,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Chargers,1-0,23,1.0,Broncos,0-1,16,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Steelers,1-0,32,1.0,Raiders,0-1,13,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Falcons,0-1,38,1.0,Panthers,0-1,20,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Lions,1-0,47,1.0,Cowboys,1-0,9,0.0,,,0
2024,Week 6,FINAL,SUN,10/13,Bengals,0-1,17,1.0,Giants,0-1,7,0.0,,,0
2024,Week 6,FINAL,MON,10/14,Bills,1-0,23,1.0,Jets,0-1,20,0.0,,,0
2024,Week 6,BYE,,,Dolphins,8-9,,,,,,,,,0
2024,Week 6,BYE,,,Vikings,14-3,,,,,,,,,0
2024,Week 6,BYE,,,Rams,10-7,,,,,,,,,0
2024,Week 6,BYE,,,Chiefs,15-2,,,,,,,,,0
2024,Week 7,FINAL,THU,10/17,Broncos,0-1,33,1.0,Saints,1-0,10,0.0,,,0
2024,Week 7,FINAL,SUN,10/20,Patriots,1-0,16,0.0,Jaguars,0-1,32,1.0,,,0
2024,Week 7,FINAL,SUN,10/20,Seahawks,1-0,34,1.0,Falcons,0-1,14,0.0,,,0
2024,Week 7,FINAL,SUN,10/20,Titans,0-1,10,0.0,Bills,1-0,34,1.0,,,0
2024,Week 7,FINAL,SUN,10/20,Bengals,0-1,21,1.0,Browns,0-1,14,0.0,,,0
2024,Week 7,FINAL,SUN,10/20,Texans,1-0,22,0.0,Packers,0-1,24,1.0,,,0
2024,Week 7,FINAL,SUN,10/20,Dolphins,1-0,10,0.0,Colts,0-1,16,1.0,,,0
2024,Week 7,FINAL,SUN,10/20,Lions,1-0,31,1.0,Vikings,1-0,29,0.0,,,0
2024,Week 7,FINAL,SUN,10/20,Eagles,1-0,28,1.0,Giants,0-1,3,0.0,,,0
2024,Week 7,FINAL,SUN,10/20,Raiders,0-1,15,0.0,Rams,0-1,20,1.0,,,0
2024,Week 7,FINAL,SUN,10/20,Panthers,0-1,7,0.0,Commanders,0-1,40,1.0,,,0
2024,Week 7,FINAL,SUN,10/20,Chiefs,1-0,28,1.0,49ers,1-0,18,0.0,,,0
2024,Week 7,FINAL,SUN,10/20,Jets,0-1,15,0.0,Steelers,1-0,37,1.0,,,0
2024,Week 7,FINAL,MON,10/21,Ravens,0-1,41,1.0,Buccaneers,1-0,31,0.0,,,0
2024,Week 7,FINAL,MON,10/21,Chargers,1-0,15,0.0,Cardinals,0-1,17,1.0,,,0
2024,Week 7,BYE,,,Bears,5-12,,,,,,,,,0
2024,Week 7,BYE,,,Cowboys,7-10,,,,,,,,,0
2024,Week 8,FINAL,THU,10/24,Vikings,1-0,20,0.0,Rams,0-1,30,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Ravens,0-1,24,0.0,Browns,0-1,29,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Titans,0-1,14,0.0,Lions,1-0,52,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Colts,0-1,20,0.0,Texans,1-0,23,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Packers,0-1,30,1.0,Jaguars,0-1,27,0.0,,,0
2024,Week 8,FINAL,SUN,10/27,Cardinals,0-1,28,1.0,Dolphins,1-0,27,0.0,,,0
2024,Week 8,FINAL,SUN,10/27,Jets,0-1,22,0.0,Patriots,1-0,25,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Falcons,0-1,31,1.0,Buccaneers,1-0,26,0.0,,,0
2024,Week 8,FINAL,SUN,10/27,Eagles,1-0,37,1.0,Bengals,0-1,17,0.0,,,0
2024,Week 8,FINAL,SUN,10/27,Saints,1-0,8,0.0,Chargers,1-0,26,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Bills,1-0,31,1.0,Seahawks,1-0,10,0.0,,,0
2024,Week 8,FINAL,SUN,10/27,Bears,1-0,15,0.0,Commanders,0-1,18,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Panthers,0-1,14,0.0,Broncos,0-1,28,1.0,,,0
2024,Week 8,FINAL,SUN,10/27,Chiefs,1-0,27,1.0,Raiders,0-1,20,0.0,,,0
2024,Week 8,FINAL,SUN,10/27,Cowboys,1-0,24,0.0,49ers,1-0,30,1.0,,,0
2024,Week 8,FINAL,MON,10/28,Giants,0-1,18,0.0,Steelers,1-0,26,1.0,,,0
2024,Week 9,FINAL,THU,10/31,Texans,1-0,13,0.0,Jets,0-1,21,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Cowboys,1-0,21,0.0,Falcons,0-1,27,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Broncos,0-1,10,0.0,Ravens,0-1,41,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Dolphins,1-0,27,0.0,Bills,1-0,30,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Saints,1-0,22,0.0,Panthers,0-1,23,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Raiders,0-1,24,0.0,Bengals,0-1,41,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Chargers,1-0,27,1.0,Browns,0-1,10,0.0,,,0
2024,Week 9,FINAL,SUN,11/03,Commanders,0-1,27,1.0,Giants,0-1,22,0.0,,,0
2024,Week 9,FINAL,SUN,11/03,Patriots,1-0,17,0.0,Titans,0-1,20,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Bears,1-0,9,0.0,Cardinals,0-1,29,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Jaguars,0-1,23,0.0,Eagles,1-0,28,1.0,,,0
2024,Week 9,FINAL,SUN,11/03,Lions,1-0,24,1.0,Packers,0-1,14,0.0,,,0
2024,Week 9,FINAL,SUN,11/03,Rams,0-1,26,1.0,Seahawks,1-0,20,0.0,,,0
2024,Week 9,FINAL,SUN,11/03,Colts,0-1,13,0.0,Vikings,1-0,21,1.0,,,0
2024,Week 9,FINAL,MON,11/04,Buccaneers,1-0,24,0.0,Chiefs,1-0,30,1.0,,,0
2024,Week 9,BYE,,,49ers,6-11,,,,,,,,,0
2024,Week 9,BYE,,,Steelers,10-7,,,,,,,,,0
2024,Week 10,FINAL,THU,11/07,Bengals,0-1,34,0.0,Ravens,0-1,35,1.0,,,0
2024,Week 10,FINAL,SUN,11/10,Giants,0-1,17,0.0,Panthers,0-1,20,1.0,,,0
2024,Week 10,FINAL,SUN,11/10,Patriots,1-0,19,1.0,Bears,1-0,3,0.0,,,0
2024,Week 10,FINAL,SUN,11/10,Bills,1-0,30,1.0,Colts,0-1,20,0.0,,,0
2024,Week 10,FINAL,SUN,11/10,Vikings,1-0,12,1.0,Jaguars,0-1,7,0.0,,,0
2024,Week 10,FINAL,SUN,11/10,Broncos,0-1,14,0.0,Chiefs,1-0,16,1.0,,,0
2024,Week 10,FINAL,SUN,11/10,Falcons,0-1,17,0.0,Saints,1-0,20,1.0,,,0
2024,Week 10,FINAL,SUN,11/10,49ers,1-0,23,1.0,Buccaneers,1-0,20,0.0,,,0
2024,Week 10,FINAL,SUN,11/10,Steelers,1-0,28,1.0,Commanders,0-1,27,0.0,,,0
2024,Week 10,FINAL,SUN,11/10,Titans,0-1,17,0.0,Chargers,1-0,27,1.0,,,0
2024,Week 10,FINAL,SUN,11/10,Jets,0-1,6,0.0,Cardinals,0-1,31,1.0,,,0
2024,Week 10,FINAL,SUN,11/10,Eagles,1-0,34,1.0,Cowboys,1-0,6,0.0,,,0
2024,Week 10,FINAL,SUN,11/10,Lions,1-0,26,1.0,Texans,1-0,23,0.0,,,0
2024,Week 10,FINAL,MON,11/11,Dolphins,1-0,23,1.0,Rams,0-1,15,0.0,,,0
2024,Week 10,BYE,,,Packers,11-6,,,,,,,,,0
2024,Week 10,BYE,,,Raiders,4-13,,,,,,,,,0
2024,Week 10,BYE,,,Browns,3-14,,,,,,,,,0
2024,Week 10,BYE,,,Seahawks,10-7,,,,,,,,,0
2024,Week 11,FINAL,THU,11/14,Commanders,0-1,18,0.0,Eagles,1-0,26,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Packers,0-1,20,1.0,Bears,1-0,19,0.0,,,0
2024,Week 11,FINAL,SUN,11/17,Jaguars,0-1,6,0.0,Lions,1-0,52,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Raiders,0-1,19,0.0,Dolphins,1-0,34,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Rams,0-1,28,1.0,Patriots,1-0,22,0.0,,,0
2024,Week 11,FINAL,SUN,11/17,Browns,0-1,14,0.0,Saints,1-0,35,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Ravens,0-1,16,0.0,Steelers,1-0,18,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Vikings,1-0,23,1.0,Titans,0-1,13,0.0,,,0
2024,Week 11,FINAL,SUN,11/17,Colts,0-1,28,1.0,Jets,0-1,27,0.0,,,0
2024,Week 11,FINAL,SUN,11/17,Falcons,0-1,6,0.0,Broncos,0-1,38,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Seahawks,1-0,20,1.0,49ers,1-0,17,0.0,,,0
2024,Week 11,FINAL,SUN,11/17,Chiefs,1-0,21,0.0,Bills,1-0,30,1.0,,,0
2024,Week 11,FINAL,SUN,11/17,Bengals,0-1,27,0.0,Chargers,1-0,34,1.0,,,0
2024,Week 11,FINAL,MON,11/18,Texans,1-0,34,1.0,Cowboys,1-0,10,0.0,,,0
2024,Week 11,BYE,,,Panthers,5-12,,,,,,,,,0
2024,Week 11,BYE,,,Giants,3-14,,,,,,,,,0
2024,Week 11,BYE,,,Buccaneers,10-7,,,,,,,,,0
2024,Week 11,BYE,,,Cardinals,8-9,,,,,,,,,0
2024,Week 12,FINAL,THU,11/21,Steelers,1-0,19,0.0,Browns,0-1,24,1.0,,,0
2024,Week 12,FINAL,SUN,11/24,Chiefs,1-0,30,1.0,Panthers,0-1,27,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,Vikings,1-0,30,1.0,Bears,1-0,27,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,Titans,0-1,32,1.0,Texans,1-0,27,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,Lions,1-0,24,1.0,Colts,0-1,6,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,Patriots,1-0,15,0.0,Dolphins,1-0,34,1.0,,,0
2024,Week 12,FINAL,SUN,11/24,Buccaneers,1-0,30,1.0,Giants,0-1,7,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,Cowboys,1-0,34,1.0,Commanders,0-1,26,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,Broncos,0-1,29,1.0,Raiders,0-1,19,0.0,,,0
2024,Week 12,FINAL,SUN,11/24,49ers,1-0,10,0.0,Packers,0-1,38,1.0,,,0
2024,Week 12,FINAL,SUN,11/24,Cardinals,0-1,6,0.0,Seahawks,1-0,16,1.0,,,0
2024,Week 12,FINAL,SUN,11/24,Eagles,1-0,37,1.0,Rams,0-1,20,0.0,,,0
2024,Week 12,FINAL,MON,11/25,Ravens,0-1,30,1.0,Chargers,1-0,23,0.0,,,0
2024,Week 12,BYE,,,Falcons,8-9,,,,,,,,,0
2024,Week 12,BYE,,,Bengals,9-8,,,,,,,,,0
2024,Week 12,BYE,,,Jaguars,4-13,,,,,,,,,0
2024,Week 12,BYE,,,Jets,5-12,,,,,,,,,0
2024,Week 12,BYE,,,Saints,5-12,,,,,,,,,0
2024,Week 12,BYE,,,Bills,13-4,,,,,,,,,0
2024,Week 13,FINAL,THU,11/28,Bears,1-0,20,0.0,Lions,1-0,23,1.0,,,0
2024,Week 13,FINAL,THU,11/28,Giants,0-1,20,0.0,Cowboys,1-0,27,1.0,,,0
2024,Week 13,FINAL,THU,11/28,Dolphins,1-0,17,0.0,Packers,0-1,30,1.0,,,0
2024,Week 13,FINAL,FRI,11/29,Raiders,0-1,17,0.0,Chiefs,1-0,19,1.0,,,0
2024,Week 13,FINAL,SUN,12/01,Chargers,1-0,17,1.0,Falcons,0-1,13,0.0,,,0
2024,Week 13,FINAL,SUN,12/01,Steelers,1-0,44,1.0,Bengals,0-1,38,0.0,,,0
